,review_text,review_rating,author_id,author_name,author_app_version,review_datetime_utc,review_likes
413657,"Napaka bulok an tagal mag load ng tracking order page aabot pa ata ng isang taon bago mag load bwisit, ayusin nyo naman to mga bugok",1,100000*********010625,A Google user,2.68.11,2021-03-27T07:15:39.000Z,0
233647,So unfair How about the student that have an postal ID?,1,100000*********012260,A Google user,,2020-07-15T13:42:50.000Z,0
456471,This is my favorite online store eversince.,5,100000*********044509,A Google user,2.71.21,2021-06-09T06:51:44.000Z,0
162727,Love ko talaga ang shopee.kasi ni minsan hindi kami naloko di tulad ng ibang online shop.,5,100000*********048444,A Google user,2.51.60,2020-03-06T10:04:10.000Z,0
128502,Hatdog,4,100000*********119836,A Google user,2.48.15,2019-12-27T07:18:39.000Z,0
577528,I didn't download it yet.,5,100000*********127965,A Google user,,2022-01-02T21:51:13.000Z,0
527327,very nice,4,100000*********130736,A Google user,2.77.32,2021-10-08T09:51:05.000Z,0
37020,this is cool,5,100000*********149081,A Google user,,2019-03-02T05:06:38.000Z,0
238920,Best platform for both the seller and buyer! God speed!,5,100000*********164871,A Google user,2.58.11,2020-07-23T05:17:48.000Z,0
63940,"So far, sa daming beses na kong nag order, satisfied po ako.. Thanks 😊",4,100000*********207900,A Google user,2.44.25,2019-10-05T05:22:18.000Z,0
692081,Injustice.,1,100000*********211168,A Google user,2.93.17,2022-09-29T04:01:58.000Z,0
384965,Salamat shopee😊,5,100000*********231966,A Google user,2.66.10,2021-02-06T20:16:16.000Z,0
42091,nice,5,100000*********252702,A Google user,,2019-04-22T23:04:50.000Z,0
663633,Naka help all needs thank you shopee..,5,100000*********269626,A Google user,2.60.30,2022-07-07T21:05:29.000Z,0
225855,Verry amazing,5,100000*********292441,A Google user,,2020-07-06T09:10:51.000Z,0
140738,"OK po yung app, very helpful po. ,,mejo natatagalan lang ako,dahil first timer😅 Thank you Shoppee❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😇 😊❤️❤️❤️❤️❤️❤️❤️😊😊😊😊😊😊😊😊❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤ MORE PROMOS ANF FREESHIPPING PO!🙏 God bless!😘",5,100000*********297242,A Google user,2.49.40,2020-01-22T06:41:49.000Z,0
546958,Slow,3,100000*********334422,A Google user,,2021-11-12T15:35:33.000Z,0
496012,Very good service,5,100000*********385843,A Google user,,2021-08-10T23:51:39.000Z,0
373600,Its good and fast,5,100000*********390290,A Google user,2.65.16,2021-01-19T22:33:48.000Z,0
619119,So far all items i purchased was good quality 😂❤️❤️,5,100000*********390962,A Google user,2.79.09,2022-03-22T15:30:08.000Z,0
291389,Excellent 😍,5,100000*********497356,A Google user,2.52.10,2020-10-06T14:56:06.000Z,0
20241,"Thank you shopee, your my lofe saviour 😊",5,100000*********503731,A Google user,,2018-08-31T04:32:32.000Z,0
749839,Super enjoy and usefull using this app that can be easy to buy anything i want. Keep safe.,5,100000*********533784,A Google user,3.02.41,2023-07-11T08:10:38.000Z,0
29477,Wow,5,100000*********561461,A Google user,,2018-12-06T04:12:51.000Z,0
736569,Very very poor costumer service assistance with Gina then Ralph then Alyzza..its more likely playing basketball..they passing the ball to one onother so much annoying and disappointment🤬🤬🤬😡😡😡,1,100000*********595227,A Google user,2.72.11,2023-04-21T04:53:33.000Z,0
130728,Excellent,5,100000*********606313,A Google user,2.45.20,2020-01-01T10:01:36.000Z,0
375520,"Great app, but always crashes and needs to fix some bugs here.",4,100000*********607677,A Google user,,2021-01-22T14:47:57.000Z,0
75861,Mdali makipag deal sa seller.. maybe ginagawan dn agad ng action ng shopee,5,100000*********607828,A Google user,2.45.51,2019-10-18T20:40:17.000Z,0
382722,Theyve got it all,5,100000*********617681,A Google user,2.65.16,2021-02-03T10:11:12.000Z,0
297667,Very convenient 😊,5,100000*********627200,A Google user,2.61.16,2020-10-15T05:41:44.000Z,0
767209,"Very bad, I am not satisfied with their offered services and products. Very poor experience. I am uninstalling it.",1,100000*********636298,A Google user,3.08.11,2023-09-16T17:46:32.000Z,1
435154,good,5,100000*********641793,A Google user,2.70.10,2021-05-03T03:26:42.000Z,0
539328,Happy,5,100000*********665293,A Google user,2.78.40,2021-10-29T03:32:02.000Z,0
646225,"BRING BACK OUR STACKABLE VOUCHERS PLEASE!!! 🥺🥺🥺 I switched to Shopee because of this feature. If it won't be back, I'll go look for another shopping app.",1,100000*********668815,A Google user,2.87.40,2022-05-25T15:07:12.000Z,1
525136,Excellent,5,100000*********677395,A Google user,,2021-10-03T20:07:15.000Z,0
686082,It's so nice to using this app,5,100000*********680682,A Google user,2.92.27,2022-09-11T13:09:54.000Z,0
453305,The best shopee,5,100000*********750911,A Google user,2.71.21,2021-06-04T12:15:23.000Z,0
757889,maria vitoria guday,5,100000*********796699,A Google user,3.06.14,2023-08-15T23:59:07.000Z,0
343786,Quick delivery.,4,100000*********849583,A Google user,2.63.19,2020-12-12T01:02:03.000Z,0
81606,😊😊😊😍😍😍,5,100000*********850895,A Google user,2.43.10,2019-10-26T18:03:15.000Z,0
402037,"All are in good and nice, but be sure nextime that the picture and SPECS in the brochure are realistic in the original item receive so that we are not expecting a lot from those products try to be true sothat we can apriciate it from the supplier.....",5,100000*********866934,A Google user,2.67.08,2021-03-08T06:53:51.000Z,0
78344,ok,5,100000*********872972,A Google user,2.45.51,2019-10-22T05:41:21.000Z,0
191037,I enjoy this app,5,100000*********879844,A Google user,2.55.08,2020-05-20T06:57:03.000Z,0
324737,Great!!!,5,100000*********926641,A Google user,2.62.30,2020-11-19T09:58:08.000Z,0
361026,"I've been using this app since 2019 'coz of FSV. So every month, you'll get FREE SHIPPING VOUCHERS. However, since December, the free shipping vouchers became useless. When I'm checking out an item it says that the voucher has been redeemed and just try another voucher even though I haven't ordered even once for that month. This January, the voucher became useless again 'coz no matter what item I order, the voucher really doesn't work. I'm starting to hate this app...",2,100000*********937951,A Google user,,2021-01-02T06:14:59.000Z,1
364397,good,5,100000*********956857,A Google user,,2021-01-06T13:39:57.000Z,0
728811,It's a nice app,5,100000*********973479,A Google user,2.79.09,2023-03-01T11:54:27.000Z,0
347111,Excellent shopping,5,100000*********985047,A Google user,2.63.19,2020-12-15T02:34:27.000Z,0
637419,Its okay..nice apps,5,100000*********985364,A Google user,2.72.16,2022-05-03T00:20:48.000Z,0
532232,"Good, very good.",5,100001*********006514,A Google user,2.77.32,2021-10-16T07:01:30.000Z,0
193798,Nice!..i'd enjoyed a lot,5,100001*********011389,A Google user,2.54.04,2020-05-23T10:53:45.000Z,0
348696,One of favorite online store thank you so much 🥰❤️,5,100001*********015099,A Google user,2.63.29,2020-12-16T11:21:40.000Z,0
58598,Very good,5,100001*********032949,A Google user,,2019-09-12T06:37:53.000Z,0
591302,Good,5,100001*********036521,A Google user,2.82.21,2022-01-27T06:49:09.000Z,0
480796,mabilis at maayos ang pagkadeliver,5,100001*********052415,A Google user,,2021-07-15T07:10:39.000Z,0
532542,Satisfied with the products,5,100001*********058797,A Google user,,2021-10-16T16:06:24.000Z,0
157399,Mura lang ang ibang item..nag enjoy ako sa mga games at iba pa,5,100001*********124932,A Google user,2.51.20,2020-02-26T04:21:02.000Z,0
622975,Napakaganda nang Itime,5,100001*********141305,A Google user,2.85.20,2022-04-02T05:13:33.000Z,0
143594,Excellent,5,100001*********164566,A Google user,,2020-01-29T05:28:27.000Z,0
