review_text,content_stem,review_rating,target
"this app, last month until today always say that no available shipping option, therefore if you have adding to your cart you can't place your order because "" no available shipping option.. please fix that problem so that the customer will can order again",last month today alway say avail ship option therefor ad cart place order avail ship option pleas fix problem custom order,1,1
bigla na lang akong na restrict. so disappointing.,bigla akong restrict disappoint,1,1
excellent service,excel servic,5,0
all my needed items nasa shopee na,need nasa,5,0
"im happy to have app shopee no.1 i'd like,, nice choice to ordered anything i need i got it,, and i would like to thanks that i have shopee apps so helpful for us,, i think i choose the best apps tha i have shopee is the best apps 💯 persent i got my order so fast at so good,, i got my choices items thats why i happy to have shopee apps its my good options to order anything in shopee apps,,",im happi like nice choic order anyth need got would like thank app help us think choos best app tha best app persent got order fast good got choic that happi app good option order anyth app,5,0
shopee is the best. 👍👍,best,5,0
"user friendly, but need more improvement especially when using desktop. i could not find my favorites when using desktop. fast shipping even the item is originated outside the country.",user friendli need improv especi use desktop could find favorit use desktop fast ship even origin outsid countri,4,0
"i really like shopee.. almost all items that i need, i got them here. fast delivery & big discounts especially when i activated shopeepay.. shopee also takes responsibility when sellers didn't ship your order on time. fast refund of payment for cancelled orders. thanks shopee! ❤❤❤❤",realli like almost need got fast deliveri big discount especi activ shopeepay also take respons ship order time fast refund payment cancel order thank,5,0
"this app is so helpful specially this time of pandemic, but there are some things that the developer must consider and take actions to, like reports about the seller and defective items. trust is everything, but how can a customer put his/her whole trust to buying using your app if there's so many ignored reports and unaddressed reviews and comments about the seller and items.",help special time pandem thing develop must consid take action like report defect trust everyth custom put whole trust buy use mani ignor report unaddress review comment,5,0
isa ito sa paborito kong online shop. talagang lahat ng nagiging order ko halos magganda at tama yung naibibigay na item. more power shoppee.,paborito onlin shop talagang nagig order halo magganda tama naibibigay power,5,0
"very useful in shoping online, less hustle.. thank you shopee ph.",use shope onlin less hustl thank ph,5,0
kudos!,kudo,5,0
"maraming akong natutunan, , at kung anong gusto mong oorderin sa shoppee, nanduon na, at hindi lang yan pwde kapang manalo sa shopee ,",maram akong natutunan anong mong oorderin nanduon yan pwde kapang manalo,5,0
quality,qualiti,5,0
"ang nakalagay kapag naka 500php minimum spend ka ay free shipping na. kahit 
same manila area. pero meron parin charge na ship.fee! ano ba talaga?",nakalagay naka php minimum spend free ship manila area meron parin charg ship fee ba talaga,1,1
verry good,verri good,5,0
good for finding stuff.,good find stuff,5,0
nice app and itss. so amazing,nice itss amaz,4,0
superlike,superlik,2,1
oky happy the item,oki happi,5,0
they never fail my expectations,never fail expect,5,0
convinient,convini,5,0
the best walang kapalpakan sa shipping,best kapalpakan ship,5,0
great experience.. super convenient,great experi super conveni,5,0
i enjoy shopping here..💜,enjoy shop,5,0
